Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	-0.5454545454545454	1.8519589806784875	-inf	22	0.9991	0.0001	0.000350010527504815
2000	-0.58	1.8120706387997132	-inf	50	0.9982	0.0001	0.000516632596651713
3000	-0.8133333333333334	2.0892954687060312	-inf	75	0.9973	0.0001	0.0007083283530341254
4000	-0.78	1.9978988963408535	-0.78	102	0.9964	0.0001	0.0015736367305119832
5000	-0.68	1.989371760129313	-0.64	129	0.9955	0.0001	0.0017334164513481988
6000	-0.89	2.1396027668705235	-0.64	155	0.9946	0.0001	0.00181114309363895
7000	-0.68	1.958979326077741	-0.64	182	0.9937	0.0001	0.0018902585903803509
8000	-0.59	1.9498461477767932	-0.58	208	0.9928	0.0001	0.001972216698858473
9000	-0.67	2.0349692872375247	-0.58	232	0.9919	0.0001	0.002180624802907308
10000	-0.58	1.9400000000000002	-0.57	258	0.991	0.0001	0.002262550327512953
11000	-0.37	1.7925122035846788	-0.37	286	0.9901	0.0001	0.002341722051302592
12000	-0.45	1.8459414941974734	-0.36	316	0.9892	0.0001	0.002425040006637573
13000	-0.47	1.7858051405458546	-0.34	341	0.9883	0.0001	0.0025098066197501287
14000	-0.67	1.8870877033142894	-0.34	368	0.9874	0.0001	0.00273339569568634
15000	-0.7	1.9209372712298547	-0.34	394	0.9865	0.0001	0.002819468379020691
16000	-0.85	2.0316249653910043	-0.34	421	0.9856	0.0001	0.0029014158248901367
17000	-0.82	1.9461757371830528	-0.34	448	0.9847	0.0001	0.002988989684316847
18000	-0.94	2.0919847035769648	-0.34	476	0.9838	0.0001	0.003072234061029222
19000	-1.05	2.1371710273162514	-0.34	502	0.9829	0.0001	0.0031555939382976956
20000	-0.95	2.123087374556214	-0.34	530	0.982	0.0001	0.003338914778497484
21000	-0.77	2.1111845016483044	-0.34	555	0.9811	0.0001	0.003419393565919664
22000	-0.75	2.06579282601136	-0.34	582	0.9802	0.0001	0.00350838303565979
23000	-0.48	1.8192306066026924	-0.34	608	0.9793	0.0001	0.0036028054025438096
24000	-0.3	1.5716233645501714	-0.28	635	0.9784	0.0001	0.0036944464842478433
25000	-0.5	1.6462077633154328	-0.28	662	0.9775	0.0001	0.0037931149535708956
26000	-0.4	1.489966442575134	-0.28	692	0.9766	0.0001	0.003875348303053114
27000	-0.57	1.6015929570274716	-0.28	717	0.9757	0.0001	0.003969472249348958
28000	-0.64	1.774936618586703	-0.28	745	0.9748	0.0001	0.004131954511006673
29000	-0.65	1.835074930350257	-0.28	772	0.9739	0.0001	0.0042366569572024875
30000	-0.55	1.7853571071357124	-0.28	802	0.973	0.0001	0.004327832857767741
31000	-0.33	1.6127926091100493	-0.28	828	0.9721	0.0001	0.004422219859229194
