Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1090	-0.07142857142857142	1.7098156005122604	-inf	28	0.999019	0.0001	0.0005830883317523533
1100	-0.07142857142857142	1.7098156005122604	-inf	28	0.99901	0.0001	0.0005859437253740099
1110	-0.06896551724137931	1.680127960700667	-inf	29	0.999001	0.0001	0.0005859437253740099
1120	-0.06896551724137931	1.680127960700667	-inf	29	0.998992	0.0001	0.0005900994274351331
1130	-0.06896551724137931	1.680127960700667	-inf	29	0.998983	0.0001	0.0005914919906192356
1140	-0.06896551724137931	1.680127960700667	-inf	29	0.998974	0.0001	0.0005914919906192356
1150	-0.06896551724137931	1.680127960700667	-inf	29	0.998965	0.0001	0.0005942328108681573
1160	-0.06896551724137931	1.680127960700667	-inf	29	0.998956	0.0001	0.0005970572763019138
1170	-0.06896551724137931	1.680127960700667	-inf	29	0.998947	0.0001	0.0005997839238908555
1180	-0.2	1.7962924780409975	-inf	30	0.998938	0.0001	0.0006007693211237589
1190	-0.2	1.7962924780409975	-inf	30	0.998929	0.0001	0.0006025856733322143
1200	-0.2	1.7962924780409975	-inf	30	0.99892	0.0001	0.000605376296573215
1210	-0.2	1.7962924780409975	-inf	30	0.998911	0.0001	0.000605376296573215
1220	-0.2	1.7962924780409975	-inf	30	0.998902	0.0001	0.0006080958578321669
1230	-0.2	1.7962924780409975	-inf	30	0.998893	0.0001	0.0006109213829040527
1240	-0.2	1.7962924780409975	-inf	30	0.998884	0.0001	0.0006109213829040527
1250	-0.2	1.7962924780409975	-inf	30	0.998875	0.0001	0.0006136678324805366
1260	-0.2	1.7962924780409975	-inf	30	0.998866	0.0001	0.0006164805094401041
1270	-0.2	1.7962924780409975	-inf	30	0.998857	0.0001	0.0006192745102776421
1280	-0.41935483870967744	2.1368380853779603	-inf	31	0.998848	0.0001	0.0006192745102776421
1290	-0.41935483870967744	2.1368380853779603	-inf	31	0.998839	0.0001	0.0006220515569051107
1300	-0.41935483870967744	2.1368380853779603	-inf	31	0.99883	0.0001	0.000624811848004659
1310	-0.375	2.117634293262177	-inf	32	0.998821	0.0001	0.0006276108821233114
1320	-0.375	2.117634293262177	-inf	32	0.998812	0.0001	0.0006285872062047322
1330	-0.375	2.117634293262177	-inf	32	0.998803	0.0001	0.0006304024325476753
1340	-0.375	2.117634293262177	-inf	32	0.998794	0.0001	0.0006330692768096923
1350	-0.3333333333333333	2.098580568870398	-inf	33	0.998785	0.0001	0.0006330692768096923
1360	-0.3333333333333333	2.098580568870398	-inf	33	0.998776	0.0001	0.0006358571185006035
1370	-0.3333333333333333	2.098580568870398	-inf	33	0.998767	0.0001	0.000638725029097663
1380	-0.3333333333333333	2.098580568870398	-inf	33	0.998758	0.0001	0.000638725029097663
1390	-0.3333333333333333	2.098580568870398	-inf	33	0.998749	0.0001	0.0006415008174048529
1400	-0.3333333333333333	2.098580568870398	-inf	33	0.99874	0.0001	0.0006442440218395657
1410	-0.3333333333333333	2.098580568870398	-inf	33	0.998731	0.0001	0.0006442440218395657
1420	-0.3333333333333333	2.098580568870398	-inf	33	0.998722	0.0001	0.0006470152404573229
1430	-0.3235294117647059	2.0682557049116665	-inf	34	0.998713	0.0001	0.000649806194835239
1440	-0.3235294117647059	2.0682557049116665	-inf	34	0.998704	0.0001	0.0006526019175847372
1450	-0.3235294117647059	2.0682557049116665	-inf	34	0.998695	0.0001	0.0006526019175847372
1460	-0.3235294117647059	2.0682557049116665	-inf	34	0.998686	0.0001	0.0006564317146937052
1470	-0.3142857142857143	2.039207529149198	-inf	35	0.998677	0.0001	0.0006581105788548788
1480	-0.3142857142857143	2.039207529149198	-inf	35	0.998668	0.0001	0.0006581105788548788
1490	-0.3142857142857143	2.039207529149198	-inf	35	0.998659	0.0001	0.000660908818244934
1500	-0.3142857142857143	2.039207529149198	-inf	35	0.99865	0.0001	0.0006637485159767998
1510	-0.3055555555555556	2.011348973042228	-inf	36	0.998641	0.0001	0.0006637485159767998
1520	-0.3055555555555556	2.011348973042228	-inf	36	0.998632	0.0001	0.0006664703289667765
1530	-0.3055555555555556	2.011348973042228	-inf	36	0.998623	0.0001	0.0006692951917648315
1540	-0.2972972972972973	1.984601054128197	-inf	37	0.998614	0.0001	0.0006692951917648315
1550	-0.2972972972972973	1.984601054128197	-inf	37	0.998605	0.0001	0.0006748159064186944
1560	-0.2894736842105263	1.9588919362048873	-inf	38	0.998596	0.0001	0.0006748159064186944
1570	-0.2894736842105263	1.9588919362048873	-inf	38	0.998587	0.0001	0.0006776252057817247
1580	-0.2894736842105263	1.9588919362048873	-inf	38	0.998578	0.0001	0.0006776252057817247
1590	-0.2894736842105263	1.9588919362048873	-inf	38	0.998569	0.0001	0.0006803176800409952
1600	-0.2894736842105263	1.9588919362048873	-inf	38	0.99856	0.0001	0.0006831301583184136
1610	-0.2894736842105263	1.9588919362048873	-inf	38	0.998551	0.0001	0.0006842521164152357
1620	-0.2894736842105263	1.9588919362048873	-inf	38	0.998542	0.0001	0.0006859305832121107
1630	-0.2894736842105263	1.9588919362048873	-inf	38	0.998533	0.0001	0.000688692463768853
1640	-0.2894736842105263	1.9588919362048873	-inf	38	0.998524	0.0001	0.000688692463768853
1650	-0.2894736842105263	1.9588919362048873	-inf	38	0.998515	0.0001	0.00069141599867079
1660	-0.2894736842105263	1.9588919362048873	-inf	38	0.998506	0.0001	0.0006941681438022189
1670	-0.2894736842105263	1.9588919362048873	-inf	38	0.998497	0.0001	0.0006941681438022189
1680	-0.2894736842105263	1.9588919362048873	-inf	38	0.998488	0.0001	0.0006970228089226617
1690	-0.2894736842105263	1.9588919362048873	-inf	38	0.998479	0.0001	0.000699805286195543
1700	-0.2894736842105263	1.9588919362048873	-inf	38	0.99847	0.0001	0.000699805286195543
1710	-0.2894736842105263	1.9588919362048873	-inf	38	0.998461	0.0001	0.0007025536563661363
1720	-0.48717948717948717	2.2856497126222104	-inf	39	0.998452	0.0001	0.0007053847445382013
1730	-0.48717948717948717	2.2856497126222104	-inf	39	0.998443	0.0001	0.0007053847445382013
1740	-0.48717948717948717	2.2856497126222104	-inf	39	0.998434	0.0001	0.000708116160498725
1750	-0.48717948717948717	2.2856497126222104	-inf	39	0.998425	0.0001	0.0007109285063213772
1760	-0.48717948717948717	2.2856497126222104	-inf	39	0.998416	0.0001	0.000712050928009881
1770	-0.45	2.2688102609076854	-inf	40	0.998407	0.0001	0.0007137289312150743
1780	-0.45	2.2688102609076854	-inf	40	0.998398	0.0001	0.0007164874341752794
1790	-0.45	2.2688102609076854	-inf	40	0.998389	0.0001	0.0007164874341752794
1800	-0.45	2.2688102609076854	-inf	40	0.99838	0.0001	0.000719260573387146
1810	-0.45	2.2688102609076854	-inf	40	0.998371	0.0001	0.000722081462542216
1820	-0.45	2.2688102609076854	-inf	40	0.998362	0.0001	0.000722081462542216
1830	-0.5121951219512195	2.275231976589042	-inf	41	0.998353	0.0001	0.0007248136070039538
1840	-0.5121951219512195	2.275231976589042	-inf	41	0.998344	0.0001	0.0007275237639745077
1850	-0.5121951219512195	2.275231976589042	-inf	41	0.998335	0.0001	0.0007275237639745077
1860	-0.5121951219512195	2.275231976589042	-inf	41	0.998326	0.0001	0.0007303442557652791
1870	-0.5952380952380952	2.3100146753762227	-inf	42	0.998317	0.0001	0.0007336191998587715
1880	-0.5952380952380952	2.3100146753762227	-inf	42	0.998308	0.0001	0.0007336191998587715
1890	-0.5952380952380952	2.3100146753762227	-inf	42	0.998299	0.0001	0.0015553753243552314
1900	-0.5952380952380952	2.3100146753762227	-inf	42	0.99829	0.0001	0.0015581513113445706
1910	-0.5952380952380952	2.3100146753762227	-inf	42	0.998281	0.0001	0.0015609782934188842
1920	-0.6744186046511628	2.33995557732191	-inf	43	0.998272	0.0001	0.0015609782934188842
1930	-0.6744186046511628	2.33995557732191	-inf	43	0.998263	0.0001	0.001563658912976583
1940	-0.75	2.3657115016609502	-inf	44	0.998254	0.0001	0.0015664928489261204
1950	-0.75	2.3657115016609502	-inf	44	0.998245	0.0001	0.0015664928489261204
1960	-0.75	2.3657115016609502	-inf	44	0.998236	0.0001	0.0015692141983244155
1970	-0.7333333333333333	2.341889076033373	-inf	45	0.998227	0.0001	0.0015719665421379937
1980	-0.7333333333333333	2.341889076033373	-inf	45	0.998218	0.0001	0.0015747394164403279
1990	-0.717391304347826	2.3187613211092275	-inf	46	0.998209	0.0001	0.0015776250097486709
2000	-0.717391304347826	2.3187613211092275	-inf	46	0.9982	0.0001	0.0015776250097486709
2010	-0.717391304347826	2.3187613211092275	-inf	46	0.998191	0.0001	0.001580379671520657
2020	-0.717391304347826	2.3187613211092275	-inf	46	0.998182	0.0001	0.001584476497438219
2030	-0.6808510638297872	2.307309227527823	-inf	47	0.998173	0.0001	0.0015858769416809081
2040	-0.6808510638297872	2.307309227527823	-inf	47	0.998164	0.0001	0.0015858769416809081
2050	-0.6808510638297872	2.307309227527823	-inf	47	0.998155	0.0001	0.001588756971889072
2060	-0.6808510638297872	2.307309227527823	-inf	47	0.998146	0.0001	0.0015914105706744724
2070	-0.6666666666666666	2.285218200133681	-inf	48	0.998137	0.0001	0.0015942605336507162
2080	-0.6666666666666666	2.285218200133681	-inf	48	0.998128	0.0001	0.0015942605336507162
2090	-0.6666666666666666	2.285218200133681	-inf	48	0.998119	0.0001	0.0015970449315177069
2100	-0.6530612244897959	2.263742795732579	-inf	49	0.99811	0.0001	0.0015998008516099717
2110	-0.6530612244897959	2.263742795732579	-inf	49	0.998101	0.0001	0.0016025645865334404
2120	-0.6530612244897959	2.263742795732579	-inf	49	0.998092	0.0001	0.0016025645865334404
2130	-0.64	2.2428553230201898	-inf	50	0.998083	0.0001	0.0016053830915027194
2140	-0.64	2.2428553230201898	-inf	50	0.998074	0.0001	0.001608081923590766
2150	-0.64	2.2428553230201898	-inf	50	0.998065	0.0001	0.0016108922163645427
2160	-0.7058823529411765	2.2690942967042247	-inf	51	0.998056	0.0001	0.0016108922163645427
2170	-0.7058823529411765	2.2690942967042247	-inf	51	0.998047	0.0001	0.0016136987341774833
2180	-0.7058823529411765	2.2690942967042247	-inf	51	0.998038	0.0001	0.0016165073712666829
2190	-0.6923076923076923	2.2492602334174534	-inf	52	0.998029	0.0001	0.0016165073712666829
2200	-0.6923076923076923	2.2492602334174534	-inf	52	0.99802	0.0001	0.001619307729932997
2210	-0.6792452830188679	2.2299300683311936	-inf	53	0.998011	0.0001	0.00162199510468377
2220	-0.6792452830188679	2.2299300683311936	-inf	53	0.998002	0.0001	0.00162199510468377
2230	-0.6792452830188679	2.2299300683311936	-inf	53	0.997993	0.0001	0.0016248359282811482
2240	-0.6792452830188679	2.2299300683311936	-inf	53	0.997984	0.0001	0.0016276176108254326
2250	-0.6792452830188679	2.2299300683311936	-inf	53	0.997975	0.0001	0.001630308164490594
2260	-0.6666666666666666	2.211083193570267	-inf	54	0.997966	0.0001	0.001630308164490594
2270	-0.6666666666666666	2.211083193570267	-inf	54	0.997957	0.0001	0.0016331646177503798
2280	-0.6666666666666666	2.211083193570267	-inf	54	0.997948	0.0001	0.0016358522574106851
2290	-0.6666666666666666	2.211083193570267	-inf	54	0.997939	0.0001	0.0016386387083265517
2300	-0.6666666666666666	2.211083193570267	-inf	54	0.99793	0.0001	0.0016386387083265517
2310	-0.6545454545454545	2.192700135517285	-inf	55	0.997921	0.0001	0.0016414893335766263
2320	-0.6545454545454545	2.192700135517285	-inf	55	0.997912	0.0001	0.001644201080004374
2330	-0.6428571428571429	2.174762478234047	-inf	56	0.997903	0.0001	0.001644201080004374
2340	-0.6428571428571429	2.174762478234047	-inf	56	0.997894	0.0001	0.0016470330953598023
2350	-0.6428571428571429	2.174762478234047	-inf	56	0.997885	0.0001	0.001649760471449958
2360	-0.6428571428571429	2.174762478234047	-inf	56	0.997876	0.0001	0.001652545001771715
2370	-0.6140350877192983	2.16636477760465	-inf	57	0.997867	0.0001	0.001652545001771715
2380	-0.6140350877192983	2.16636477760465	-inf	57	0.997858	0.0001	0.0016553480095333523
2390	-0.6140350877192983	2.16636477760465	-inf	57	0.997849	0.0001	0.0016553480095333523
2400	-0.6140350877192983	2.16636477760465	-inf	57	0.99784	0.0001	0.001658074590894911
2410	-0.6140350877192983	2.16636477760465	-inf	57	0.997831	0.0001	0.001658074590894911
2420	-0.603448275862069	2.149094879024365	-inf	58	0.997822	0.0001	0.001660908924208747
2430	-0.603448275862069	2.149094879024365	-inf	58	0.997813	0.0001	0.0016636826594670613
2440	-0.603448275862069	2.149094879024365	-inf	58	0.997804	0.0001	0.0016636826594670613
2450	-0.603448275862069	2.149094879024365	-inf	58	0.997795	0.0001	0.0016664981842041016
2460	-0.6610169491525424	2.175442051252295	-inf	59	0.997786	0.0001	0.0016691922479205661
2470	-0.6610169491525424	2.175442051252295	-inf	59	0.997777	0.0001	0.0016691922479205661
2480	-0.6610169491525424	2.175442051252295	-inf	59	0.997768	0.0001	0.0016720234685473972
2490	-0.6610169491525424	2.175442051252295	-inf	59	0.997759	0.0001	0.0016748204496171738
2500	-0.65	2.1588963229699876	-inf	60	0.99775	0.0001	0.0016748204496171738
2510	-0.65	2.1588963229699876	-inf	60	0.997741	0.0001	0.0016775533888075088
2520	-0.65	2.1588963229699876	-inf	60	0.997732	0.0001	0.0016803390449947782
2530	-0.639344262295082	2.142717646884525	-inf	61	0.997723	0.0001	0.0016803390449947782
2540	-0.639344262295082	2.142717646884525	-inf	61	0.997714	0.0001	0.001683107018470764
2550	-0.639344262295082	2.142717646884525	-inf	61	0.997705	0.0001	0.0016859387689166598
2560	-0.639344262295082	2.142717646884525	-inf	61	0.997696	0.0001	0.0016859387689166598
2570	-0.6290322580645161	2.126892864491283	-inf	62	0.997687	0.0001	0.0016887037621604072
2580	-0.6290322580645161	2.126892864491283	-inf	62	0.997678	0.0001	0.001691460476981269
2590	-0.6290322580645161	2.126892864491283	-inf	62	0.997669	0.0001	0.0016942556036843193
2600	-0.6190476190476191	2.111409454990035	-inf	63	0.99766	0.0001	0.0016942556036843193
2610	-0.6190476190476191	2.111409454990035	-inf	63	0.997651	0.0001	0.001696969469388326
2620	-0.6190476190476191	2.111409454990035	-inf	63	0.997642	0.0001	0.001699753204981486
2630	-0.609375	2.096255497160353	-inf	64	0.997633	0.0001	0.001716425683763292
2640	-0.609375	2.096255497160353	-inf	64	0.997624	0.0001	0.001724728610780504
2650	-0.609375	2.096255497160353	-inf	64	0.997615	0.0001	0.0017331243223614164
2660	-0.609375	2.096255497160353	-inf	64	0.997606	0.0001	0.0017414638731214735
2670	-0.6	2.081419633881571	-inf	65	0.997597	0.0001	0.0018025263812806872
2680	-0.6	2.081419633881571	-inf	65	0.997588	0.0001	0.0018053995900683933
2690	-0.5909090909090909	2.0668910390954607	-inf	66	0.997579	0.0001	0.0018053995900683933
2700	-0.5909090909090909	2.0668910390954607	-inf	66	0.99757	0.0001	0.0018081652455859715
2710	-0.5909090909090909	2.0668910390954607	-inf	66	0.997561	0.0001	0.0018109151389863755
2720	-0.5909090909090909	2.0668910390954607	-inf	66	0.997552	0.0001	0.0018109151389863755
2730	-0.582089552238806	2.052659387025664	-inf	67	0.997543	0.0001	0.0018136696683035956
2740	-0.582089552238806	2.052659387025664	-inf	67	0.997534	0.0001	0.0018164904250038995
2750	-0.582089552238806	2.052659387025664	-inf	67	0.997525	0.0001	0.0018192597892549302
2760	-0.5735294117647058	2.0387148234826493	-inf	68	0.997516	0.0001	0.0018219635221693252
2770	-0.5735294117647058	2.0387148234826493	-inf	68	0.997507	0.0001	0.0018219635221693252
2780	-0.5735294117647058	2.0387148234826493	-inf	68	0.997498	0.0001	0.0018247490459018284
2790	-0.5735294117647058	2.0387148234826493	-inf	68	0.997489	0.0001	0.001827598015467326
2800	-0.5735294117647058	2.0387148234826493	-inf	68	0.99748	0.0001	0.001827598015467326
2810	-0.5735294117647058	2.0387148234826493	-inf	68	0.997471	0.0001	0.0018303159872690837
2820	-0.5652173913043478	2.0250479390966456	-inf	69	0.997462	0.0001	0.0018331361479229397
2830	-0.5652173913043478	2.0250479390966456	-inf	69	0.997453	0.0001	0.0018331361479229397
2840	-0.5652173913043478	2.0250479390966456	-inf	69	0.997444	0.0001	0.0018358480268054539
2850	-0.5652173913043478	2.0250479390966456	-inf	69	0.997435	0.0001	0.0018387093146642049
2860	-0.5571428571428572	2.0116497443336288	-inf	70	0.997426	0.0001	0.0018387093146642049
2870	-0.5571428571428572	2.0116497443336288	-inf	70	0.997417	0.0001	0.0018414933813942803
2880	-0.5571428571428572	2.0116497443336288	-inf	70	0.997408	0.0001	0.0018442481093936497
2890	-0.5571428571428572	2.0116497443336288	-inf	70	0.997399	0.0001	0.0018442481093936497
2900	-0.5492957746478874	1.9985116461610382	-inf	71	0.99739	0.0001	0.0018469891283247207
2910	-0.5492957746478874	1.9985116461610382	-inf	71	0.997381	0.0001	0.0018498323361078898
2920	-0.5492957746478874	1.9985116461610382	-inf	71	0.997372	0.0001	0.0018498323361078898
2930	-0.5416666666666666	1.9856254262406425	-inf	72	0.997363	0.0001	0.0018525984552171496
2940	-0.5416666666666666	1.9856254262406425	-inf	72	0.997354	0.0001	0.001855297883351644
2950	-0.5342465753424658	1.9729832205357625	-inf	73	0.997345	0.0001	0.001855297883351644
2960	-0.5342465753424658	1.9729832205357625	-inf	73	0.997336	0.0001	0.0018581775824228922
2970	-0.5342465753424658	1.9729832205357625	-inf	73	0.997327	0.0001	0.0018608604537116156
2980	-0.5342465753424658	1.9729832205357625	-inf	73	0.997318	0.0001	0.0018608604537116156
2990	-0.5342465753424658	1.9729832205357625	-inf	73	0.997309	0.0001	0.0018637286954455905
3000	-0.527027027027027	1.9605775002291226	-inf	74	0.9973	0.0001	0.0018664532237582738
3010	-0.527027027027027	1.9605775002291226	-inf	74	0.997291	0.0001	0.0018678436014387342
3020	-0.5733333333333334	1.9877849201784605	-inf	75	0.997282	0.0001	0.001869247555732727
3030	-0.5733333333333334	1.9877849201784605	-inf	75	0.997273	0.0001	0.0018719895018471612
3040	-0.5733333333333334	1.9877849201784605	-inf	75	0.997264	0.0001	0.0018748428424199422
3050	-0.5733333333333334	1.9877849201784605	-inf	75	0.997255	0.0001	0.0018748428424199422
