Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10	nan	nan	-inf	0	0.999991	0.0001	2.3393630981445314e-05
20	nan	nan	-inf	0	0.999982	0.0001	3.036128150092231e-05
30	nan	nan	-inf	0	0.999973	0.0001	4.0003723568386505e-05
40	nan	nan	-inf	0	0.999964	0.0001	4.846096038818359e-05
50	0.0	0.0	-inf	1	0.999955	0.0001	0.0001302929719289144
60	0.0	0.0	-inf	1	0.999946	0.0001	0.0001359142197502984
70	0.0	0.0	-inf	1	0.999937	0.0001	0.00014139533042907714
80	0.0	0.0	-inf	1	0.999928	0.0001	0.00014702200889587402
90	0.0	0.0	-inf	2	0.999919	0.0001	0.0002025535371568468
100	0.0	0.0	-inf	2	0.99991	0.0001	0.000205332703060574
110	0.0	0.0	-inf	2	0.999901	0.0001	0.00020810683568318685
120	1.0	1.4142135623730951	-inf	3	0.999892	0.0001	0.00020810683568318685
130	1.0	1.4142135623730951	-inf	3	0.999883	0.0001	0.00021158827675713432
140	1.0	1.4142135623730951	-inf	3	0.999874	0.0001	0.0002136756976445516
150	0.75	1.299038105676658	-inf	4	0.999865	0.0001	0.0002136756976445516
160	0.75	1.299038105676658	-inf	4	0.999856	0.0001	0.0002164238691329956
170	0.75	1.299038105676658	-inf	4	0.999847	0.0001	0.0002192752228842841
180	0.75	1.299038105676658	-inf	4	0.999838	0.0001	0.0002192752228842841
190	0.75	1.299038105676658	-inf	4	0.999829	0.0001	0.00022200173801845973
200	0.6	1.2	-inf	5	0.99982	0.0001	0.00022475765811072454
210	0.6	1.2	-inf	5	0.999811	0.0001	0.00022475765811072454
220	0.6	1.2	-inf	5	0.999802	0.0001	0.0002275374862882826
230	0.5	1.118033988749895	-inf	6	0.999793	0.0001	0.00023030254575941297
240	0.5	1.118033988749895	-inf	6	0.999784	0.0001	0.00023030254575941297
250	0.5	1.118033988749895	-inf	6	0.999775	0.0001	0.00023310840129852294
260	0.5	1.118033988749895	-inf	6	0.999766	0.0001	0.00023587856027815077
270	0.42857142857142855	1.049781318335648	-inf	7	0.999757	0.0001	0.00023587856027815077
280	0.42857142857142855	1.049781318335648	-inf	7	0.999748	0.0001	0.00023933198716905382
290	0.42857142857142855	1.049781318335648	-inf	7	0.999739	0.0001	0.0002414221896065606
300	0.42857142857142855	1.049781318335648	-inf	7	0.99973	0.0001	0.0002414221896065606
310	0.375	0.9921567416492215	-inf	8	0.999721	0.0001	0.000262346002790663
320	0.375	0.9921567416492215	-inf	8	0.999712	0.0001	0.00026921702755822077
330	0.375	0.9921567416492215	-inf	8	0.999703	0.0001	0.0002789885467953152
340	0.3333333333333333	0.9428090415820634	-inf	9	0.999694	0.0001	0.00034567289882236055
350	0.3333333333333333	0.9428090415820634	-inf	9	0.999685	0.0001	0.0003470658593707614
360	0.3333333333333333	0.9428090415820634	-inf	9	0.999676	0.0001	0.0003504985570907593
370	0.3333333333333333	0.9428090415820634	-inf	9	0.999667	0.0001	0.0003504985570907593
380	0.3	0.9000000000000001	-inf	10	0.999658	0.0001	0.0003525861766603258
390	0.3	0.9000000000000001	-inf	10	0.999649	0.0001	0.00035668041970994736
400	0.3	0.9000000000000001	-inf	10	0.99964	0.0001	0.00035807377762264676
410	0.3	0.9000000000000001	-inf	10	0.999631	0.0001	0.00035807377762264676
420	0.3	0.9000000000000001	-inf	10	0.999622	0.0001	0.0003608912229537964
430	0.3	0.9000000000000001	-inf	10	0.999613	0.0001	0.0003636326392491658
440	0.3	0.9000000000000001	-inf	10	0.999604	0.0001	0.0003636326392491658
450	0.3	0.9000000000000001	-inf	10	0.999595	0.0001	0.00036647584703233506
460	0.3	0.9000000000000001	-inf	10	0.999586	0.0001	0.00036647584703233506
470	0.3	0.9000000000000001	-inf	10	0.999577	0.0001	0.00036923362149132624
480	-0.36363636363636365	2.267266166061805	-inf	11	0.999568	0.0001	0.0003719981511433919
490	-0.36363636363636365	2.267266166061805	-inf	11	0.999559	0.0001	0.0003719981511433919
500	-0.36363636363636365	2.267266166061805	-inf	11	0.99955	0.0001	0.00037478460205925837
510	-0.3333333333333333	2.173067468400883	-inf	12	0.999541	0.0001	0.00037478460205925837
520	-0.3333333333333333	2.173067468400883	-inf	12	0.999532	0.0001	0.000378252731429206
530	-0.3333333333333333	2.173067468400883	-inf	12	0.999523	0.0001	0.0003803394900427924
540	-0.3333333333333333	2.173067468400883	-inf	12	0.999514	0.0001	0.0003803394900427924
550	-0.23076923076923078	2.1178307535286467	-inf	13	0.999505	0.0001	0.00038312872250874835
560	-0.23076923076923078	2.1178307535286467	-inf	13	0.999496	0.0001	0.0003859563668568929
570	-0.23076923076923078	2.1178307535286467	-inf	13	0.999487	0.0001	0.0003886046674516466
580	-0.23076923076923078	2.1178307535286467	-inf	13	0.999478	0.0001	0.0003886046674516466
590	-0.21428571428571427	2.0416579897080642	-inf	14	0.999469	0.0001	0.000391439331902398
600	-0.21428571428571427	2.0416579897080642	-inf	14	0.99946	0.0001	0.0003941849205229017
610	-0.21428571428571427	2.0416579897080642	-inf	14	0.999451	0.0001	0.0003941849205229017
620	-0.21428571428571427	2.0416579897080642	-inf	14	0.999442	0.0001	0.00039699388874901665
630	-0.2	1.9731531449264987	-inf	15	0.999433	0.0001	0.00039983934826321073
640	-0.2	1.9731531449264987	-inf	15	0.999424	0.0001	0.00039983934826321073
650	-0.2	1.9731531449264987	-inf	15	0.999415	0.0001	0.00040260646078321666
660	-0.125	1.9324531042175384	-inf	16	0.999406	0.0001	0.00040605260266198055
670	-0.125	1.9324531042175384	-inf	16	0.999397	0.0001	0.00040605260266198055
680	-0.125	1.9324531042175384	-inf	16	0.999388	0.0001	0.00040814843442704945
690	-0.125	1.9324531042175384	-inf	16	0.999379	0.0001	0.0004109008444680108
700	-0.058823529411764705	1.8933502281683625	-inf	17	0.99937	0.0001	0.0004109008444680108
710	-0.058823529411764705	1.8933502281683625	-inf	17	0.999361	0.0001	0.000413621465365092
720	-0.058823529411764705	1.8933502281683625	-inf	17	0.999352	0.0001	0.0004164708985222711
730	-0.05555555555555555	1.8400550179643549	-inf	18	0.999343	0.0001	0.0004164708985222711
740	-0.05555555555555555	1.8400550179643549	-inf	18	0.999334	0.0001	0.00041923377248975963
750	-0.05263157894736842	1.7910210028603741	-inf	19	0.999325	0.0001	0.00042205141650305855
760	-0.05263157894736842	1.7910210028603741	-inf	19	0.999316	0.0001	0.00042205141650305855
770	-0.05263157894736842	1.7910210028603741	-inf	19	0.999307	0.0001	0.00042478316360049776
780	-0.05263157894736842	1.7910210028603741	-inf	19	0.999298	0.0001	0.0004275990194744534
790	-0.05263157894736842	1.7910210028603741	-inf	19	0.999289	0.0001	0.0004275990194744534
800	-0.05263157894736842	1.7910210028603741	-inf	19	0.99928	0.0001	0.00043031109703911677
810	0.0	1.760681686165901	-inf	20	0.999271	0.0001	0.000433125098546346
820	0.0	1.760681686165901	-inf	20	0.999262	0.0001	0.0004338237312104967
830	0.0	1.760681686165901	-inf	20	0.999253	0.0001	0.00043591890070173475
840	-0.19047619047619047	1.9178124348192636	-inf	21	0.999244	0.0001	0.0004386726352903578
850	-0.19047619047619047	1.9178124348192636	-inf	21	0.999235	0.0001	0.0004386726352903578
860	-0.18181818181818182	1.8741389207353005	-inf	22	0.999226	0.0001	0.0004414478275511
870	-0.18181818181818182	1.8741389207353005	-inf	22	0.999217	0.0001	0.00044424182838863796
880	-0.18181818181818182	1.8741389207353005	-inf	22	0.999208	0.0001	0.00044424182838863796
890	-0.17391304347826086	1.83331901237461	-inf	23	0.999199	0.0001	0.0004470650355021159
900	-0.17391304347826086	1.83331901237461	-inf	23	0.99919	0.0001	0.00044983704884847005
910	-0.17391304347826086	1.83331901237461	-inf	23	0.999181	0.0001	0.0004525133636262682
920	-0.17391304347826086	1.83331901237461	-inf	23	0.999172	0.0001	0.0004525133636262682
930	-0.16666666666666666	1.7950549357115013	-inf	24	0.999163	0.0001	0.00045535551177130806
940	-0.16666666666666666	1.7950549357115013	-inf	24	0.999154	0.0001	0.00045535551177130806
950	-0.16	1.7590906741836816	-inf	25	0.999145	0.0001	0.0004580644766489665
960	-0.16	1.7590906741836816	-inf	25	0.999136	0.0001	0.0004609360959794786
970	-0.16	1.7590906741836816	-inf	25	0.999127	0.0001	0.0004616349935531616
980	-0.15384615384615385	1.7252047301542925	-inf	26	0.999118	0.0001	0.00046373075909084745
990	-0.15384615384615385	1.7252047301542925	-inf	26	0.999109	0.0001	0.0004664721753862169
1000	-0.15384615384615385	1.7252047301542925	-inf	26	0.9991	0.0001	0.0004664721753862169
1010	-0.15384615384615385	1.7252047301542925	-inf	26	0.999091	0.0001	0.00046929743554857044
1020	-0.14814814814814814	1.6932043630611056	-inf	27	0.999082	0.0001	0.0004886588785383436
1030	-0.14814814814814814	1.6932043630611056	-inf	27	0.999073	0.0001	0.0004969369040595161
1040	-0.14814814814814814	1.6932043630611056	-inf	27	0.999064	0.0001	0.0005053620205985176
1050	-0.14814814814814814	1.6932043630611056	-inf	27	0.999055	0.0001	0.000510967042711046
1060	-0.07142857142857142	1.7098156005122604	-inf	28	0.999046	0.0001	0.0005789220995373196
1070	-0.07142857142857142	1.7098156005122604	-inf	28	0.999037	0.0001	0.0005803151263131036
1080	-0.07142857142857142	1.7098156005122604	-inf	28	0.999028	0.0001	0.0005803151263131036
