Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-0.51	1.802747902508834	-0.49	262	0.991	0.0001	0.002167594101693895
20000	-0.81	1.9426528253910937	-0.45	530	0.982	0.0001	0.003288817140791151
30000	-0.71	1.7792976142287158	-0.36	802	0.973	0.0001	0.004410159190495809
40000	-1.2	2.501999200639361	-0.36	1071	0.964	0.0001	0.005551323758231269
50000	-0.47	1.7575835684256949	-0.36	1328	0.955	0.0001	0.006722657945421007
60000	-0.89	2.1949715260112144	-0.21	1588	0.946	0.0001	0.03971796638435788
70000	-0.76	2.0204949888579287	-0.21	1845	0.9369999999999999	0.0001	0.0708832628859414
80000	-0.17	1.2414104881142256	-0.17	2104	0.9279999999999999	0.0001	0.10347364015049404
